user,key,keyEvent,Time
Wercixx69,13,Up,4203125
Wercixx69,0,Down,4204375
Wercixx69,83,Down,4204468
Wercixx69,83,Up,4204593
Wercixx69,0,Up,4204593
Wercixx69,105,Down,4204828
Wercixx69,105,Up,4204953
Wercixx69,101,Down,4205031
Wercixx69,101,Up,4205140
Wercixx69,109,Down,4205343
Wercixx69,109,Up,4205468
Wercixx69,97,Down,4205531
Wercixx69,97,Up,4205625
Wercixx69,44,Down,4206078
Wercixx69,44,Up,4206234
Wercixx69,32,Down,4207453
Wercixx69,32,Up,4207625
Wercixx69,116,Down,4208703
Wercixx69,116,Up,4208828
Wercixx69,111,Down,4208968
Wercixx69,111,Up,4209093
Wercixx69,32,Down,4209640
Wercixx69,32,Up,4209781
Wercixx69,106,Down,4209906
Wercixx69,106,Up,4210031
Wercixx69,97,Down,4210093
Wercixx69,97,Up,4210234
Wercixx69,46,Down,4210921
Wercixx69,46,Up,4211078
Wercixx69,27,Down,4212781
Arbuz700,13,Up,4552500
Arbuzik700,13,Up,4597718
Arbuzik700,0,Down,4598484
Arbuzik700,83,Down,4598578
Arbuzik700,83,Up,4598687
Arbuzik700,0,Up,4598703
Arbuzik700,105,Down,4598906
Arbuzik700,105,Up,4599031
Arbuzik700,101,Down,4599093
Arbuzik700,101,Up,4599187
Arbuzik700,109,Down,4599312
Arbuzik700,109,Up,4599390
Arbuzik700,97,Down,4599484
Arbuzik700,97,Up,4599578
Arbuzik700,44,Down,4599859
Arbuzik700,44,Up,4600000
Arbuzik700,32,Down,4600843
Arbuzik700,32,Up,4601000
Arbuzik700,116,Down,4601046
Arbuzik700,116,Up,4601156
Arbuzik700,111,Down,4601312
Arbuzik700,111,Up,4601421
Arbuzik700,106,Down,4601734
Arbuzik700,106,Up,4601843
Arbuzik700,97,Down,4602046
Arbuzik700,97,Up,4602187
Arbuzik700,8,Down,4603031
Arbuzik700,8,Up,4603156
Arbuzik700,8,Down,4603640
Arbuzik700,8,Up,4603750
Arbuzik700,32,Down,4604250
Arbuzik700,32,Up,4604437
Arbuzik700,106,Down,4605000
Arbuzik700,106,Up,4605171
Arbuzik700,97,Down,4605734
Arbuzik700,97,Up,4605859
Arbuzik700,46,Down,4606890
Arbuzik700,46,Up,4607031
Arbuzik700,27,Down,4607265
Weronika2,13,Up,5989703
Weronika2,0,Down,5990703
Weronika2,0,Up,5990843
Weronika2,83,Down,5991343
Weronika2,83,Up,5991468
Weronika2,73,Down,5991484
Weronika2,73,Up,5991609
Weronika2,69,Down,5991640
Weronika2,69,Up,5991734
Weronika2,77,Down,5992218
Weronika2,77,Up,5992343
Weronika2,65,Down,5992343
Weronika2,65,Up,5992500
Weronika2,44,Down,5992687
Weronika2,44,Up,5992843
Weronika2,32,Down,5993546
Weronika2,32,Up,5993687
Weronika2,84,Down,5993703
Weronika2,84,Up,5993828
Weronika2,79,Down,5993875
Weronika2,79,Up,5994031
Weronika2,32,Down,5994250
Weronika2,32,Up,5994359
Weronika2,74,Down,5994531
Weronika2,74,Up,5994656
Weronika2,65,Down,5994671
Weronika2,65,Up,5994796
Weronika2,46,Down,5994953
Weronika2,46,Up,5995109
